Time (s),Input u(t),Output y(t)
27.25,1,0.25262784
27.3,1,0.259069209
27.35,0,0.270105699
27.4,1,0.274194732
27.45,1,0.282825787
27.5,0,0.295303045
27.55,1,0.300138231
27.6,1,0.30888364
27.65,0,0.320912499
27.7,1,0.324809641
27.75,1,0.332202532
27.8,0,0.342539814
27.85,1,0.344480359
27.9,1,0.349722893
27.95,1,0.357783343
28,1,0.368172928
28.05,0,0.380409002
28.1,0,0.383234546
28.15,0,0.377654272
28.2,1,0.364736622
28.25,1,0.356374016
28.3,1,0.352227728
28.35,0,0.351908381
28.4,1,0.344199885
28.45,0,0.340890602
28.5,1,0.330762807
28.55,0,0.325591371
28.6,0,0.314134847
28.65,0,0.297345809
28.7,0,0.276181616
28.75,1,0.251583661
28.8,1,0.235249319
28.85,1,0.22658863
28.9,0,0.224916446
28.95,0,0.218687648
29,1,0.208549018
29.05,1,0.205946683
29.1,1,0.210083197
29.15,0,0.220109116
29.2,1,0.224356801
29.25,0,0.234180144
29.3,1,0.237951266
29.35,0,0.247065103
29.4,1,0.249935091
29.45,1,0.257996853
29.5,0,0.270493096
29.55,0,0.275868609
29.6,0,0.274815325
29.65,0,0.268082563
29.7,1,0.256454735
29.75,1,0.251520819
29.8,1,0.25262784
29.85,1,0.259069209
29.9,0,0.270105699
29.95,1,0.274194732
30,1,0.282825787
30.05,0,0.295303045
30.1,1,0.300138231
30.15,1,0.30888364
30.2,0,0.320912499
30.25,1,0.324809641
30.3,1,0.332202532
30.35,0,0.342539814
30.4,1,0.344480359
30.45,1,0.349722893
30.5,1,0.357783343
30.55,1,0.368172928
30.6,0,0.380409002
30.65,0,0.383234546
30.7,0,0.377654272
30.75,1,0.364736622
30.8,1,0.356374016
30.85,1,0.352227728
30.9,0,0.351908381
30.95,1,0.344199885
31,0,0.340890602
31.05,1,0.330762807
31.1,0,0.325591371
31.15,0,0.314134847
31.2,0,0.297345809
31.25,0,0.276181616
31.3,1,0.251583661
31.35,1,0.235249319
31.4,1,0.22658863
31.45,0,0.224916446
31.5,0,0.218687648
31.55,1,0.208549018
31.6,1,0.205946683
31.65,1,0.210083197
31.7,0,0.220109116
31.75,1,0.224356801
31.8,0,0.234180144
31.85,1,0.237951266
31.9,0,0.247065103
31.95,1,0.249935091
32,1,0.257996853
32.05,0,0.270493096
32.1,0,0.275868609
32.15,0,0.274815325
32.2,0,0.268082563
32.25,1,0.256454735
32.3,1,0.251520819
32.35,1,0.25262784
32.4,1,0.259069209
32.45,0,0.270105699
32.5,1,0.274194732
32.55,1,0.282825787
32.6,0,0.295303045
32.65,1,0.300138231
32.7,1,0.30888364
32.75,0,0.320912499
32.8,1,0.324809641
32.85,1,0.332202532
32.9,0,0.342539814
32.95,1,0.344480359
33,1,0.349722893
33.05,1,0.357783343
33.1,1,0.368172928
33.15,0,0.380409002
33.2,0,0.383234546
33.25,0,0.377654272
33.3,1,0.364736622
33.35,1,0.356374016
33.4,1,0.352227728
33.45,0,0.351908381
33.5,1,0.344199885
33.55,0,0.340890602
33.6,1,0.330762807
33.65,0,0.325591371
33.7,0,0.314134847
33.75,0,0.297345809
33.8,0,0.276181616
33.85,1,0.251583661
33.9,1,0.235249319
33.95,1,0.22658863
34,0,0.224916446
34.05,0,0.218687648
34.1,1,0.208549018
34.15,1,0.205946683
34.2,1,0.210083197
34.25,0,0.220109116
34.3,1,0.224356801
34.35,0,0.234180144
34.4,1,0.237951266
34.45,0,0.247065103
34.5,1,0.249935091
34.55,1,0.257996853
34.6,0,0.270493096
34.65,0,0.275868609
34.7,0,0.274815325
34.75,0,0.268082563
34.8,1,0.256454735
34.85,1,0.251520819
34.9,1,0.25262784
34.95,1,0.259069209
35,0,0.270105699
35.05,1,0.274194732
35.1,1,0.282825787
35.15,0,0.295303045
35.2,1,0.300138231
35.25,1,0.30888364
35.3,0,0.320912499
35.35,1,0.324809641
35.4,1,0.332202532
35.45,0,0.342539814
35.5,1,0.344480359
35.55,1,0.349722893
35.6,1,0.357783343
35.65,1,0.368172928
